Zona,Tipo Tarifa Num,Tipo Tarifa,Calle,Altura Inicial,Altura Final
2,2,Simple,GUEVARA,1001,1200
2,2,Simple,GUEVARA TRINIDAD,301,400
2,2,Simple,GUIDO,1701,2000
2,2,Simple,GUIDO,2301,2500
2,2,Simple,GUIDO,2601,2700
2,1,Progresiva,GU ISE,1601,2000
2,1,Proqresiva,GURRUCHAGA,1,1451
2,1,Progresiva,GURRUCHAGA,1450,2500
2,,,,,
2,2,Simple,GUTIERREZ JUAN MARIA,2501,2800
2,2,Simple,GUTIERREZ JUAN MARIA,3701,4000
2,1,Progresiva,H ERNANDEZ JOS E,1301,1400
2,1,Progresiva,H IDALGO,1101,1220
2,1,Progresiva,HIDALGO,1201,1800
2,1,Progresiva,HONDURAS,3701,5363
2,1,Proqresìva,HONDURAS,5431,5469
2,2,Simple,HONDURAS,5452,6100
2,2,Simple,HUAURA,1301,1380
2,2,Simple,HUAURA,1401,1500
2,1,Progresiva,HUERGO,201,400
2,2,Simple,HUMBOLDT,1,27
2,2,Simple,HUMBOLDT,24,200
2,2,Simple,HUMBOLDT,401,2400
2,1,Progresiva,HUMBOLDT,2401,2500
2,1,Progresiva,JAURES JEAN,1001,1200
2,1,Progresiva,JUFRE,101,1200
2,1,Progresiva_ JUNCAL,,1601,1900
2,1,Progresiva,JUNCAL,1889,2000
2,1,Progresiva,JUNCAL,2501,3600
2,2,Simple,JUNCAL,4401,4700
2,1,Progresiva,JUNIN,1301,1500
2,2,Simple,JUNIN,1501,1900
2,2,Simple,KENNEDY JOHN FITGERALD,2801,3100
2,1,Progresiva,LACROZE FEDERICO,1601,1900
2,1,Progresiva,LACROZE FEDERICO AV.,1901,2400
2,2,Simple,LAFINUR,2901,3400
2,2,Simple,LAMAS ANDRES,2301,2400
2,1,Progresiva,Laprida,901,1800
2,2,Simple,LAPRIDA,1801,2200
2,1,Progresiva,LAVALLEJA,1,100
2,1,Progresiva,LAVALLEJA,201,300
2,1,Progresiva.,LAVALLEJA,501,700
2,1,Proç¡resiva,LAVALLEJA,901,1102
2,1,Progresiva,LAVALLEJA,1101,1600
2,2,Simple,LEIVA,3901,4400
2,2,Simple,LEMOS JUAN GREGORIO Gral.,1,400
2,1,Progresiva,LERMA,1,700
2,2,Simple,LEVENE RICARDO Dr.,901,1000
2,2,Simple,LOPEZ VI CENTE,2001,2310
2,2,Simple,LO RETO Virrey,1601,2100
2,1,Progresiva,LORETO Virrey,2101,2400
2,2,Simple,LORETO Virrey,3601,3900
2,1,Progresiva,LOYOLA,33,1100
2,2,Simple,LOYOLA,1401,1700
2,2,Simple,LUISONI ARTURO Mayor,2301,2800
2,1,Progresiva,MALABIA,101,2500
2,1,Progresiva,MALASIA,801,900
2,,,,,
2,1,Progresiva,MANSILLA LUCIO NORBERTO GENERAL,2401,2702
2,1,Progresiva,MANSILLA LUCIO NORBERTO GENERAL,2701,2765
2,1,Progresiva,MANSILLA LUCIO NORBERTO GENERAL,2752,3400
2,1,Proqresiva,MANSILLA LUCIO NORBERTO GENERAL,3801,3900
2,1,Progresiva,MANSILLA LUCIO NORBERTO GENERAL,3602,3650
2,1,Progresiva,MANSILLA LUCIO NORBERTO GENERAL,3832,3836
2,1,Progresiva,MANSILLA LUCIO NORBERTO GENERAL,3901,4100
2,2,Simple,MANSO JUANA,101,700
2,1,Progresiva,MARCHI MARIA CATALINA,201,300
2,1,Proqresìva,MARECHAL LEOPOLDO,1101,1400
2,1,Progresiva,MARTINEZ ROSAS,901,1200
2,2,Simple,MARTINEZ ROSAS,1201,1500
2,1,Progresiva,MASON,4401,4500
2,1,Progresiva,MATIENZO BENJAMIN TENIENTE,1501,2000
2,1,Progresiva,MATIENZO BENJAMIN TENIENTE,2401,2500
2,2,Simple,MATIENZQ BENJAMIN TENIENTE,2501,2700
2,2,Simple,MATURIN,2099,2180
2,2,Simple,MATURIN,2201,2900
2,1,Progresiva,MAURE,1501,2400
2,1,Progresiva,MAURE,2501,2600
2,2,Simple,MAURE,3501,4100
2,1,Proqresiva,MEDRANO,1001,1699
2,1,Progresiva,MEDRANO,1686,2000
2,2,Simple,MIGUEL ANGEL,1801,2000
2,1,Proqresiva,MIGUELETES,401,1400
2,1,Proqreslva,MIÑONES,1721,1800
2,1,Progresiva,MONTEVIDEO,901,1100
2,1,Procreslva,MONTEVIDEO,1201,1300
2,1,Proqresiva,MONTEVIDEO,1401,1460
2,2,Simple,MORA FERNANDEZ JUAN,2901,3000
2,2,Simple,MORlOTE,768,1000
2,1,Progresiva,MUÑECAS,701,1100
2,1,Proqresiva,MURCIA,1501,1600
2,1,Progresiva,MURillO,601,1200
2,2,Simple,MURILLO,1201,1300
2,1,Progresiva,NEWBERY JORGE,1501,1967
2,1,Progresiva,NEWBERY JORGE,1902,2000
2,1,Progresiva,NEWBERY JORGE,2401,2600
2,2,Simple,NEWBERY JORGEAV.,3501,4100
2,1,Progresiva,NICARAGUA,4301,5200
2,2,Simple,NICARAGUA,5401,6100
2,2,Simple,OBARRIO MANUEL,2901,3000
2,2,Simple,OCAMPO VICTORIA,301,400
2,1,Progresiva,O'HIGGINS,1301,1500
2,1,Proqresiva,OLAYA,1101,1900
2,1,Progresiva,OLLEROS,1901,2400
